FECHA HECHO,DEPARTAMENTO,MUNICIPIO,CANTIDAD
2010-02-26,NARIÑO,EL ROSARIO,1
2010-02-26,NARIÑO,EL CHARCO,1
2010-02-27,META,PUERTO RICO,1
2010-02-27,GUAVIARE,CALAMAR,3
2010-02-27,CÓRDOBA,PUERTO LIBERTADOR,1
2010-02-27,ANTIOQUIA,VALDIVIA,1
2010-02-27,PUTUMAYO,ORITO,1
2010-02-27,PUTUMAYO,SAN MIGUEL,227
2010-02-27,META,MAPIRIPAN,1
2010-02-27,VAUPÉS,CARURU,1
2010-02-27,NARIÑO,ROBERTO PAYAN,1
2010-02-28,META,PUERTO RICO,3
2010-02-28,NARIÑO,FRANCISCO PIZARRO,1
2010-02-28,CAUCA,TIMBIQUI,1
2010-02-28,CAUCA,CORINTO,1
2010-02-28,NARIÑO,SAN ANDRES DE TUMACO,1
2010-03-01,META,PUERTO RICO,1
2010-03-01,GUAVIARE,EL RETORNO,3
2010-03-01,ANTIOQUIA,VALDIVIA,6
2010-03-01,CAQUETÁ,SOLANO,3
2010-03-01,PUTUMAYO,SAN MIGUEL,1
2010-03-01,SANTANDER,PUERTO PARRA,1
2010-03-01,VALLE DEL CAUCA,BUGALAGRANDE,1
2010-03-02,ANTIOQUIA,VALDIVIA,1
2010-03-02,CAUCA,EL TAMBO,2
2010-03-02,NORTE DE SANTANDER,CACHIRA,1
2010-03-03,ANTIOQUIA,TARAZA,1
2010-03-03,CAQUETÁ,SOLANO,1
2010-03-03,NARIÑO,SAN ANDRES DE TUMACO,6
2010-03-04,GUAVIARE,SAN JOSE DEL GUAVIARE,6
2010-03-04,PUTUMAYO,VILLAGARZON,1
2010-03-04,NARIÑO,SAN ANDRES DE TUMACO,3
2010-03-05,NARIÑO,EL PEÑOL,1
2010-03-05,NORTE DE SANTANDER,CACHIRA,1
2010-03-05,NORTE DE SANTANDER,EL ZULIA,1
2010-03-05,PUTUMAYO,VALLE DEL GUAMUEZ,1
2010-03-05,VALLE DEL CAUCA,JAMUNDI,1
2010-03-05,VICHADA,CUMARIBO,1
2010-03-05,NARIÑO,SAN ANDRES DE TUMACO,1
2010-03-06,ANTIOQUIA,TARAZA,1
2010-03-06,CAUCA,LOPEZ,2
2010-03-06,PUTUMAYO,VALLE DEL GUAMUEZ,1
2010-03-06,PUTUMAYO,VILLAGARZON,1
2010-03-06,NARIÑO,SAN ANDRES DE TUMACO,3
2010-03-07,NORTE DE SANTANDER,HACARI,1
2010-03-07,CHOCÓ,BAJO BAUDO,1
2010-03-07,BOYACÁ,GUAYATA,1
2010-03-07,CAUCA,GUAPI,3
2010-03-07,CAUCA,TORIBIO,1
2010-03-07,NARIÑO,EL PEÑOL,1
2010-03-07,NARIÑO,LA TOLA,1
2010-03-08,GUAVIARE,SAN JOSE DEL GUAVIARE,2
2010-03-08,NARIÑO,LA TOLA,2
2010-03-08,NARIÑO,SAN ANDRES DE TUMACO,4
2010-03-09,ANTIOQUIA,TARAZA,1
2010-03-09,PUTUMAYO,ORITO,1
2010-03-09,CAUCA,ARGELIA,1
2010-03-09,NORTE DE SANTANDER,CACHIRA,1
2010-03-09,NORTE DE SANTANDER,LA ESPERANZA,1
2010-03-09,VALLE DEL CAUCA,EL DOVIO,1
2010-03-10,ANTIOQUIA,SEGOVIA,1
2010-03-10,AMAZONAS,EL ENCANTO,1
2010-03-10,RISARALDA,MISTRATO,1
2010-03-10,BOLÍVAR,CANTAGALLO,1
2010-03-10,ANTIOQUIA,PUERTO NARE,2
2010-03-10,META,MAPIRIPAN,1
2010-03-10,NARIÑO,LA TOLA,1
2010-03-10,NARIÑO,SAN ANDRES DE TUMACO,6
2010-03-11,GUAVIARE,CALAMAR,7
2010-03-11,PUTUMAYO,PUERTO ASIS,2
2010-03-11,CAUCA,CORINTO,1
2010-03-11,NARIÑO,SAN ANDRES DE TUMACO,1
2010-03-12,AMAZONAS,PUERTO ALEGRIA,1
2010-03-12,ANTIOQUIA,PUERTO TRIUNFO,3
2010-03-12,ANTIOQUIA,PUERTO NARE,2
2010-03-13,NARIÑO,CUMBITARA,1
2010-03-14,CHOCÓ,EL LITORAL DEL SAN JUAN,1
2010-03-14,CAUCA,CORINTO,1
2010-03-14,NARIÑO,SAN ANDRES DE TUMACO,6
2010-03-15,CAUCA,CORINTO,1
2010-03-16,ANTIOQUIA,TARAZA,1
2010-03-16,PUTUMAYO,PUERTO CAICEDO,1
2010-03-16,VAUPÉS,CARURU,1
2010-03-16,PUTUMAYO,SAN MIGUEL,1
2010-03-16,PUTUMAYO,VALLE DEL GUAMUEZ,1
2010-03-16,NARIÑO,SAN ANDRES DE TUMACO,7
2010-03-17,PUTUMAYO,LEGUIZAMO,1
2010-03-17,CAUCA,BOLIVAR,1
2010-03-17,CUNDINAMARCA,TIBIRITA,1
2010-03-17,NARIÑO,LA CRUZ,1
2010-03-17,VICHADA,CUMARIBO,2
2010-03-18,GUAVIARE,EL RETORNO,1
2010-03-18,NORTE DE SANTANDER,TIBU,1
2010-03-18,PUTUMAYO,LEGUIZAMO,2
2010-03-18,VALLE DEL CAUCA,BUENAVENTURA,2
2010-03-18,CAUCA,SUCRE,1
2010-03-18,CAUCA,ARGELIA,1
2010-03-18,NARIÑO,POLICARPA,1
2010-03-18,NORTE DE SANTANDER,LOS PATIOS,1
2010-03-18,SANTANDER,CIMITARRA,1
2010-03-18,VICHADA,CUMARIBO,2
2010-03-19,AMAZONAS,PUERTO ALEGRIA,1
2010-03-19,VICHADA,CUMARIBO,2
2010-03-19,PUTUMAYO,PUERTO ASIS,1
2010-03-19,CAUCA,EL TAMBO,1
2010-03-19,PUTUMAYO,VILLAGARZON,1
2010-03-19,NARIÑO,SAN ANDRES DE TUMACO,3
2010-03-20,VALLE DEL CAUCA,BUENAVENTURA,1
2010-03-20,BOYACÁ,PUERTO BOYACA,1
2010-03-20,NORTE DE SANTANDER,CUCUTA,2
2010-03-20,PUTUMAYO,PUERTO CAICEDO,1
2010-03-20,PUTUMAYO,VILLAGARZON,1
2010-03-20,NARIÑO,SAN ANDRES DE TUMACO,2
2010-03-21,CAUCA,LOPEZ,2
2010-03-21,PUTUMAYO,PUERTO CAICEDO,1
2010-03-21,CAQUETÁ,EL DONCELLO,1
2010-03-21,CAQUETÁ,FLORENCIA,2
2010-03-21,VALLE DEL CAUCA,DAGUA,1
2010-03-21,NARIÑO,SAN ANDRES DE TUMACO,3
2010-03-22,ANTIOQUIA,TARAZA,1
2010-03-22,CHOCÓ,EL CANTON DEL SAN PABLO,1
2010-03-22,NARIÑO,SAN ANDRES DE TUMACO,1
2010-03-23,ANTIOQUIA,VALDIVIA,1
2010-03-23,PUTUMAYO,PUERTO ASIS,1
2010-03-23,META,MAPIRIPAN,3
2010-03-23,NARIÑO,RICAURTE,1
2010-03-23,NORTE DE SANTANDER,RAGONVALIA,1
2010-03-23,PUTUMAYO,VILLAGARZON,1
2010-03-24,ARAUCA,ARAUQUITA,1
2010-03-24,ANTIOQUIA,SEGOVIA,1
2010-03-24,ANTIOQUIA,VALDIVIA,1
2010-03-24,NORTE DE SANTANDER,CACHIRA,2
2010-03-24,BOLÍVAR,MONTECRISTO,1
2010-03-24,NORTE DE SANTANDER,ARBOLEDAS,1
2010-03-24,PUTUMAYO,SAN MIGUEL,1
2010-03-24,NARIÑO,SAN ANDRES DE TUMACO,2
2010-03-25,ANTIOQUIA,TARAZA,1
2010-03-25,SANTANDER,BOLIVAR,1
2010-03-25,ANTIOQUIA,MUTATA,1
2010-03-25,CAUCA,TIMBIQUI,1
2010-03-25,PUTUMAYO,SAN MIGUEL,1
2010-03-25,VICHADA,LA PRIMAVERA,1
2010-03-26,NORTE DE SANTANDER,TIBU,1
2010-03-26,CAQUETÁ,PUERTO RICO,1
2010-03-26,BOLÍVAR,CANTAGALLO,1
2010-03-26,VALLE DEL CAUCA,DAGUA,1
2010-03-26,CAUCA,SANTANDER DE QUILICHAO,1
2010-03-26,ANTIOQUIA,YALI,1
2010-03-26,BOYACÁ,PUERTO BOYACA,1
2010-03-27,ANTIOQUIA,VALDIVIA,1
2010-03-27,NARIÑO,SAN ANDRES DE TUMACO,1
2010-03-28,META,LA MACARENA,1
2010-03-28,ANTIOQUIA,VALDIVIA,3
2010-03-28,SANTANDER,EL PLAYON,1
2010-03-28,PUTUMAYO,PUERTO CAICEDO,1
2010-03-28,NARIÑO,MALLAMA,1
2010-03-28,CAUCA,GUAPI,4
2010-03-28,NORTE DE SANTANDER,EL ZULIA,1
2010-03-28,NARIÑO,SAN ANDRES DE TUMACO,1
2010-03-29,ANTIOQUIA,TARAZA,1
2010-03-29,CHOCÓ,EL LITORAL DEL SAN JUAN,1
2010-03-29,CAUCA,GUAPI,1
2010-03-29,PUTUMAYO,PUERTO GUZMAN,2
2010-03-29,VICHADA,CUMARIBO,6
2010-03-30,NORTE DE SANTANDER,CACHIRA,1
2010-03-30,CHOCÓ,SIPI,1
2010-03-30,ANTIOQUIA,SAN LUIS,1
2010-03-30,MAGDALENA,SANTA MARTA,1
2010-03-30,NARIÑO,EL ROSARIO,1
2010-03-30,SANTANDER,EL PLAYON,1
2010-03-30,TOLIMA,CHAPARRAL,1
2010-03-31,PUTUMAYO,PUERTO CAICEDO,2
2010-03-31,PUTUMAYO,LEGUIZAMO,1
2010-03-31,SANTANDER,BOLIVAR,1
2010-03-31,SANTANDER,CIMITARRA,1
2010-03-31,META,MAPIRIPAN,1
2010-03-31,CAUCA,BOLIVAR,1
2010-03-31,SANTANDER,EL PLAYON,1
2010-03-31,NARIÑO,SAN ANDRES DE TUMACO,1
2010-04-01,ANTIOQUIA,VALDIVIA,3
2010-04-01,META,MAPIRIPAN,1
2010-04-01,CAUCA,BOLIVAR,1
2010-04-02,CAUCA,CORINTO,2
2010-04-02,CAQUETÁ,PUERTO RICO,1
2010-04-03,PUTUMAYO,LEGUIZAMO,3
2010-04-03,PUTUMAYO,PUERTO ASIS,1
2010-04-03,CAUCA,CALDONO,1
2010-04-03,CAUCA,CORINTO,1
2010-04-03,VICHADA,LA PRIMAVERA,1
2010-04-03,NARIÑO,SAN ANDRES DE TUMACO,1
2010-04-04,CAUCA,BOLIVAR,1
2010-04-04,NARIÑO,SAN ANDRES DE TUMACO,2
2010-04-05,NORTE DE SANTANDER,TIBU,1
2010-04-05,ANTIOQUIA,BRICEÑO,1
2010-04-05,CAUCA,BOLIVAR,2
2010-04-05,PUTUMAYO,LEGUIZAMO,2
2010-04-05,PUTUMAYO,VILLAGARZON,1
2010-04-05,NARIÑO,SAN ANDRES DE TUMACO,2
2010-04-06,ANTIOQUIA,CACERES,2
2010-04-06,ANTIOQUIA,TARAZA,6
2010-04-06,ANTIOQUIA,YARUMAL,1
2010-04-06,CAQUETÁ,SAN JOSE DEL FRAGUA,5
2010-04-07,META,VISTAHERMOSA,1
2010-04-07,ANTIOQUIA,CACERES,2
2010-04-07,ANTIOQUIA,MUTATA,2
2010-04-07,CAUCA,BOLIVAR,2
2010-04-07,PUTUMAYO,SAN MIGUEL,1
2010-04-07,NARIÑO,LA TOLA,1
2010-04-08,META,VISTAHERMOSA,7
2010-04-08,ANTIOQUIA,CACERES,2
2010-04-08,ANTIOQUIA,VEGACHI,1
2010-04-08,CAQUETÁ,EL DONCELLO,4
2010-04-08,CAUCA,BOLIVAR,1
2010-04-08,NORTE DE SANTANDER,CUCUTA,1
2010-04-08,PUTUMAYO,VILLAGARZON,1
2010-04-08,NARIÑO,BARBACOAS,1
2010-04-08,NARIÑO,SAN ANDRES DE TUMACO,4
2010-04-09,GUAVIARE,SAN JOSE DEL GUAVIARE,1
2010-04-09,ANTIOQUIA,SEGOVIA,1
2010-04-09,ANTIOQUIA,CACERES,3
2010-04-09,NORTE DE SANTANDER,TEORAMA,2
2010-04-09,SANTANDER,EL PLAYON,1
2010-04-09,VALLE DEL CAUCA,DAGUA,1
2010-04-09,ANTIOQUIA,SAN FRANCISCO,1
2010-04-09,CAUCA,BOLIVAR,2
2010-04-09,PUTUMAYO,PUERTO ASIS,1
2010-04-09,VALLE DEL CAUCA,FLORIDA,1
2010-04-09,NARIÑO,SAN ANDRES DE TUMACO,2
2010-04-10,META,VISTAHERMOSA,2
2010-04-10,NORTE DE SANTANDER,TEORAMA,2
2010-04-10,PUTUMAYO,LEGUIZAMO,1
2010-04-10,ANTIOQUIA,SAN FRANCISCO,1
2010-04-10,BOLÍVAR,CANTAGALLO,2
2010-04-10,CAUCA,BOLIVAR,1
2010-04-10,GUAVIARE,MIRAFLORES,7
2010-04-10,PUTUMAYO,VILLAGARZON,1
2010-04-10,NARIÑO,SAN ANDRES DE TUMACO,1
2010-04-11,META,VISTAHERMOSA,1
2010-04-11,ANTIOQUIA,ITUANGO,1
2010-04-11,ANTIOQUIA,REMEDIOS,1
2010-04-11,PUTUMAYO,LEGUIZAMO,3
2010-04-11,GUAVIARE,MIRAFLORES,1
2010-04-11,BOLÍVAR,SAN PABLO,1
2010-04-11,VICHADA,LA PRIMAVERA,4
2010-04-12,CAQUETÁ,SOLANO,1
2010-04-12,CHOCÓ,SAN JOSE DEL PALMAR,1
2010-04-12,CAUCA,BOLIVAR,1
2010-04-13,NORTE DE SANTANDER,ABREGO,1
2010-04-13,NORTE DE SANTANDER,SARDINATA,1
2010-04-13,PUTUMAYO,LEGUIZAMO,1
2010-04-13,CAUCA,SUAREZ,1
2010-04-14,PUTUMAYO,LEGUIZAMO,4
2010-04-14,PUTUMAYO,ORITO,1
2010-04-14,VICHADA,CUMARIBO,1
2010-04-14,NARIÑO,SAN ANDRES DE TUMACO,2
2010-04-15,ANTIOQUIA,VALDIVIA,1
2010-04-15,ANTIOQUIA,TARAZA,1
2010-04-15,VICHADA,LA PRIMAVERA,1
2010-04-15,PUTUMAYO,MOCOA,1
2010-04-15,CALDAS,SAMANA,1
2010-04-15,CAUCA,BOLIVAR,1
2010-04-15,CAUCA,EL TAMBO,1
2010-04-15,CAUCA,SUAREZ,2
