FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,CANTIDAD,UNIDAD DE MEDIDA
2010-02-06,23.0,CÓRDOBA,23466,MONTELIBANO,1,UNIDAD
2010-02-06,99.0,VICHADA,99773,CUMARIBO,1,UNIDAD
2010-02-06,95.0,GUAVIARE,95200,MIRAFLORES,4,UNIDAD
2010-02-06,50.0,META,50325,MAPIRIPAN,1,UNIDAD
2010-02-06,52.0,NARIÑO,52678,SAMANIEGO,1,UNIDAD
2010-02-07,50.0,META,50325,MAPIRIPAN,1,UNIDAD
2010-02-08,5.0,ANTIOQUIA,05854,VALDIVIA,1,UNIDAD
2010-02-08,5.0,ANTIOQUIA,05790,TARAZA,1,UNIDAD
2010-02-08,52.0,NARIÑO,52490,OLAYA HERRERA,2,UNIDAD
2010-02-09,50.0,META,50590,PUERTO RICO,1,UNIDAD
2010-02-09,54.0,NORTE DE SANTANDER,54800,TEORAMA,4,UNIDAD
2010-02-09,86.0,PUTUMAYO,86569,PUERTO CAICEDO,2,UNIDAD
2010-02-09,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
2010-02-09,52.0,NARIÑO,52621,ROBERTO PAYAN,2,UNIDAD
2010-02-10,86.0,PUTUMAYO,86573,LEGUIZAMO,1,UNIDAD
2010-02-10,86.0,PUTUMAYO,86568,PUERTO ASIS,1,UNIDAD
2010-02-10,99.0,VICHADA,99773,CUMARIBO,2,UNIDAD
2010-02-10,25.0,CUNDINAMARCA,25572,PUERTO SALGAR,1,UNIDAD
2010-02-10,52.0,NARIÑO,52678,SAMANIEGO,1,UNIDAD
2010-02-10,86.0,PUTUMAYO,86865,VALLE DEL GUAMUEZ,1,UNIDAD
2010-02-11,54.0,NORTE DE SANTANDER,54001,CUCUTA,2,UNIDAD
2010-02-11,54.0,NORTE DE SANTANDER,54261,EL ZULIA,1,UNIDAD
2010-02-11,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
2010-02-12,50.0,META,50590,PUERTO RICO,1,UNIDAD
2010-02-12,95.0,GUAVIARE,95025,EL RETORNO,2,UNIDAD
2010-02-12,5.0,ANTIOQUIA,05895,ZARAGOZA,1,UNIDAD
2010-02-12,54.0,NORTE DE SANTANDER,54250,EL TARRA,2,UNIDAD
2010-02-12,97.0,VAUPÉS,97161,CARURU,1,UNIDAD
2010-02-12,19.0,CAUCA,19050,ARGELIA,2,UNIDAD
2010-02-12,52.0,NARIÑO,52540,POLICARPA,1,UNIDAD
2010-02-12,54.0,NORTE DE SANTANDER,54261,EL ZULIA,1,UNIDAD
2010-02-13,27.0,CHOCÓ,27077,BAJO BAUDO,1,UNIDAD
2010-02-13,97.0,VAUPÉS,97161,CARURU,1,UNIDAD
2010-02-13,19.0,CAUCA,19100,BOLIVAR,1,UNIDAD
2010-02-13,13.0,BOLÍVAR,13688,SANTA ROSA DEL SUR,1,UNIDAD
2010-02-13,52.0,NARIÑO,52540,POLICARPA,1,UNIDAD
2010-02-13,54.0,NORTE DE SANTANDER,54001,CUCUTA,1,UNIDAD
2010-02-14,5.0,ANTIOQUIA,05361,ITUANGO,1,UNIDAD
2010-02-14,5.0,ANTIOQUIA,05495,NECHI,1,UNIDAD
2010-02-14,19.0,CAUCA,19212,CORINTO,1,UNIDAD
2010-02-14,95.0,GUAVIARE,95200,MIRAFLORES,3,UNIDAD
2010-02-16,18.0,CAQUETÁ,18592,PUERTO RICO,3,UNIDAD
2010-02-16,19.0,CAUCA,19050,ARGELIA,1,UNIDAD
2010-02-16,54.0,NORTE DE SANTANDER,54001,CUCUTA,1,UNIDAD
2010-02-16,86.0,PUTUMAYO,86569,PUERTO CAICEDO,1,UNIDAD
2010-02-16,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,4,UNIDAD
2010-02-17,50.0,META,50350,LA MACARENA,1,UNIDAD
2010-02-17,86.0,PUTUMAYO,86569,PUERTO CAICEDO,1,UNIDAD
2010-02-17,97.0,VAUPÉS,97161,CARURU,1,UNIDAD
2010-02-17,50.0,META,50325,MAPIRIPAN,1,UNIDAD
2010-02-17,54.0,NORTE DE SANTANDER,54172,CHINACOTA,1,UNIDAD
2010-02-17,54.0,NORTE DE SANTANDER,54820,TOLEDO,1,UNIDAD
2010-02-17,86.0,PUTUMAYO,86885,VILLAGARZON,1,UNIDAD
2010-02-17,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
2010-02-18,95.0,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,1,UNIDAD
2010-02-18,5.0,ANTIOQUIA,05790,TARAZA,1,UNIDAD
2010-02-18,86.0,PUTUMAYO,86573,LEGUIZAMO,1,UNIDAD
2010-02-18,19.0,CAUCA,19100,BOLIVAR,1,UNIDAD
2010-02-18,19.0,CAUCA,19532,PATIA,1,UNIDAD
2010-02-18,50.0,META,50313,GRANADA,1,UNIDAD
2010-02-18,50.0,META,50325,MAPIRIPAN,2,UNIDAD
2010-02-19,19.0,CAUCA,19318,GUAPI,1,UNIDAD
2010-02-19,86.0,PUTUMAYO,86573,LEGUIZAMO,1,UNIDAD
2010-02-19,54.0,NORTE DE SANTANDER,54498,OCAÑA,1,UNIDAD
2010-02-19,19.0,CAUCA,19785,SUCRE,1,UNIDAD
2010-02-19,50.0,META,50325,MAPIRIPAN,3,UNIDAD
2010-02-20,5.0,ANTIOQUIA,05854,VALDIVIA,5,UNIDAD
2010-02-20,86.0,PUTUMAYO,86568,PUERTO ASIS,1,UNIDAD
2010-02-20,5.0,ANTIOQUIA,05660,SAN LUIS,1,UNIDAD
2010-02-20,23.0,CÓRDOBA,23068,AYAPEL,1,UNIDAD
2010-02-21,5.0,ANTIOQUIA,05790,TARAZA,1,UNIDAD
2010-02-21,19.0,CAUCA,19050,ARGELIA,1,UNIDAD
2010-02-21,50.0,META,50325,MAPIRIPAN,3,UNIDAD
2010-02-21,54.0,NORTE DE SANTANDER,54174,CHITAGA,2,UNIDAD
2010-02-22,50.0,META,50590,PUERTO RICO,1,UNIDAD
2010-02-22,95.0,GUAVIARE,95015,CALAMAR,1,UNIDAD
2010-02-22,54.0,NORTE DE SANTANDER,54344,HACARI,3,UNIDAD
2010-02-22,50.0,META,50325,MAPIRIPAN,3,UNIDAD
2010-02-22,50.0,META,50689,SAN MARTIN,1,UNIDAD
2010-02-22,54.0,NORTE DE SANTANDER,54128,CACHIRA,1,UNIDAD
2010-02-22,68.0,SANTANDER,68255,EL PLAYON,1,UNIDAD
2010-02-23,5.0,ANTIOQUIA,05790,TARAZA,1,UNIDAD
2010-02-23,19.0,CAUCA,19318,GUAPI,1,UNIDAD
2010-02-24,76.0,VALLE DEL CAUCA,76834,TULUA,2,UNIDAD
2010-02-24,86.0,PUTUMAYO,86320,ORITO,1,UNIDAD
2010-02-24,19.0,CAUCA,19142,CALOTO,1,UNIDAD
2010-02-25,91.0,AMAZONAS,91263,EL ENCANTO,1,UNIDAD
2010-02-25,15.0,BOYACÁ,15572,PUERTO BOYACA,1,UNIDAD
2010-02-25,18.0,CAQUETÁ,18247,EL DONCELLO,17,UNIDAD
2010-02-25,54.0,NORTE DE SANTANDER,54128,CACHIRA,1,UNIDAD
2010-02-25,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
2010-02-26,50.0,META,50590,PUERTO RICO,2,UNIDAD
2010-02-26,5.0,ANTIOQUIA,05040,ANORI,1,UNIDAD
2010-02-26,5.0,ANTIOQUIA,05854,VALDIVIA,3,UNIDAD
2010-02-26,18.0,CAQUETÁ,18756,SOLANO,1,UNIDAD
2010-02-26,76.0,VALLE DEL CAUCA,76364,JAMUNDI,1,UNIDAD
2010-02-26,18.0,CAQUETÁ,18094,BELEN DE LOS ANDAQUIES,6,UNIDAD
2010-02-26,19.0,CAUCA,19256,EL TAMBO,4,UNIDAD
2010-02-26,52.0,NARIÑO,52254,EL PEÑOL,1,UNIDAD
2010-02-26,52.0,NARIÑO,52256,EL ROSARIO,1,UNIDAD
2010-02-26,52.0,NARIÑO,52250,EL CHARCO,1,UNIDAD
2010-02-27,50.0,META,50590,PUERTO RICO,1,UNIDAD
2010-02-27,95.0,GUAVIARE,95015,CALAMAR,3,UNIDAD
2010-02-27,23.0,CÓRDOBA,23580,PUERTO LIBERTADOR,1,UNIDAD
2010-02-27,5.0,ANTIOQUIA,05854,VALDIVIA,1,UNIDAD
2010-02-27,86.0,PUTUMAYO,86320,ORITO,1,UNIDAD
2010-02-27,86.0,PUTUMAYO,86757,SAN MIGUEL,227,UNIDAD
2010-02-27,50.0,META,50325,MAPIRIPAN,1,UNIDAD
2010-02-27,97.0,VAUPÉS,97161,CARURU,1,UNIDAD
2010-02-27,52.0,NARIÑO,52621,ROBERTO PAYAN,1,UNIDAD
2010-02-28,50.0,META,50590,PUERTO RICO,3,UNIDAD
2010-02-28,52.0,NARIÑO,52520,FRANCISCO PIZARRO,1,UNIDAD
2010-02-28,19.0,CAUCA,19809,TIMBIQUI,1,UNIDAD
2010-02-28,19.0,CAUCA,19212,CORINTO,1,UNIDAD
2010-02-28,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
2010-03-01,50.0,META,50590,PUERTO RICO,1,UNIDAD
2010-03-01,95.0,GUAVIARE,95025,EL RETORNO,3,UNIDAD
2010-03-01,5.0,ANTIOQUIA,05854,VALDIVIA,6,UNIDAD
2010-03-01,18.0,CAQUETÁ,18756,SOLANO,3,UNIDAD
2010-03-01,86.0,PUTUMAYO,86757,SAN MIGUEL,1,UNIDAD
2010-03-01,68.0,SANTANDER,68573,PUERTO PARRA,1,UNIDAD
2010-03-01,76.0,VALLE DEL CAUCA,76113,BUGALAGRANDE,1,UNIDAD
2010-03-02,5.0,ANTIOQUIA,05854,VALDIVIA,1,UNIDAD
2010-03-02,19.0,CAUCA,19256,EL TAMBO,2,UNIDAD
2010-03-02,54.0,NORTE DE SANTANDER,54128,CACHIRA,1,UNIDAD
2010-03-03,5.0,ANTIOQUIA,05790,TARAZA,1,UNIDAD
2010-03-03,18.0,CAQUETÁ,18756,SOLANO,1,UNIDAD
2010-03-03,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,6,UNIDAD
2010-03-04,95.0,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,6,UNIDAD
2010-03-04,86.0,PUTUMAYO,86885,VILLAGARZON,1,UNIDAD
2010-03-04,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,3,UNIDAD
2010-03-05,52.0,NARIÑO,52254,EL PEÑOL,1,UNIDAD
2010-03-05,54.0,NORTE DE SANTANDER,54128,CACHIRA,1,UNIDAD
2010-03-05,54.0,NORTE DE SANTANDER,54261,EL ZULIA,1,UNIDAD
2010-03-05,86.0,PUTUMAYO,86865,VALLE DEL GUAMUEZ,1,UNIDAD
2010-03-05,76.0,VALLE DEL CAUCA,76364,JAMUNDI,1,UNIDAD
2010-03-05,99.0,VICHADA,99773,CUMARIBO,1,UNIDAD
2010-03-05,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
2010-03-06,5.0,ANTIOQUIA,05790,TARAZA,1,UNIDAD
2010-03-06,19.0,CAUCA,19418,LOPEZ,2,UNIDAD
2010-03-06,86.0,PUTUMAYO,86865,VALLE DEL GUAMUEZ,1,UNIDAD
2010-03-06,86.0,PUTUMAYO,86885,VILLAGARZON,1,UNIDAD
2010-03-06,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,3,UNIDAD
2010-03-07,54.0,NORTE DE SANTANDER,54344,HACARI,1,UNIDAD
2010-03-07,27.0,CHOCÓ,27077,BAJO BAUDO,1,UNIDAD
2010-03-07,15.0,BOYACÁ,15325,GUAYATA,1,UNIDAD
2010-03-07,19.0,CAUCA,19318,GUAPI,3,UNIDAD
2010-03-07,19.0,CAUCA,19821,TORIBIO,1,UNIDAD
2010-03-07,52.0,NARIÑO,52254,EL PEÑOL,1,UNIDAD
2010-03-07,52.0,NARIÑO,52390,LA TOLA,1,UNIDAD
2010-03-08,95.0,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,2,UNIDAD
2010-03-08,52.0,NARIÑO,52390,LA TOLA,2,UNIDAD
2010-03-08,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,4,UNIDAD
2010-03-09,5.0,ANTIOQUIA,05790,TARAZA,1,UNIDAD
2010-03-09,86.0,PUTUMAYO,86320,ORITO,1,UNIDAD
2010-03-09,19.0,CAUCA,19050,ARGELIA,1,UNIDAD
2010-03-09,54.0,NORTE DE SANTANDER,54128,CACHIRA,1,UNIDAD
2010-03-09,54.0,NORTE DE SANTANDER,54385,LA ESPERANZA,1,UNIDAD
2010-03-09,76.0,VALLE DEL CAUCA,76250,EL DOVIO,1,UNIDAD
2010-03-10,5.0,ANTIOQUIA,05736,SEGOVIA,1,UNIDAD
2010-03-10,91.0,AMAZONAS,91263,EL ENCANTO,1,UNIDAD
2010-03-10,66.0,RISARALDA,66456,MISTRATO,1,UNIDAD
2010-03-10,13.0,BOLÍVAR,13160,CANTAGALLO,1,UNIDAD
2010-03-10,5.0,ANTIOQUIA,05585,PUERTO NARE,2,UNIDAD
2010-03-10,50.0,META,50325,MAPIRIPAN,1,UNIDAD
2010-03-10,52.0,NARIÑO,52390,LA TOLA,1,UNIDAD
2010-03-10,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,6,UNIDAD
2010-03-11,95.0,GUAVIARE,95015,CALAMAR,7,UNIDAD
2010-03-11,86.0,PUTUMAYO,86568,PUERTO ASIS,2,UNIDAD
2010-03-11,19.0,CAUCA,19212,CORINTO,1,UNIDAD
2010-03-11,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,1,UNIDAD
2010-03-12,91.0,AMAZONAS,91530,PUERTO ALEGRIA,1,UNIDAD
2010-03-12,5.0,ANTIOQUIA,05591,PUERTO TRIUNFO,3,UNIDAD
2010-03-12,5.0,ANTIOQUIA,05585,PUERTO NARE,2,UNIDAD
2010-03-13,52.0,NARIÑO,52233,CUMBITARA,1,UNIDAD
2010-03-14,27.0,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,1,UNIDAD
2010-03-14,19.0,CAUCA,19212,CORINTO,1,UNIDAD
2010-03-14,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,6,UNIDAD
2010-03-15,19.0,CAUCA,19212,CORINTO,1,UNIDAD
2010-03-16,5.0,ANTIOQUIA,05790,TARAZA,1,UNIDAD
2010-03-16,86.0,PUTUMAYO,86569,PUERTO CAICEDO,1,UNIDAD
2010-03-16,97.0,VAUPÉS,97161,CARURU,1,UNIDAD
2010-03-16,86.0,PUTUMAYO,86757,SAN MIGUEL,1,UNIDAD
2010-03-16,86.0,PUTUMAYO,86865,VALLE DEL GUAMUEZ,1,UNIDAD
2010-03-16,52.0,NARIÑO,52835,SAN ANDRES DE TUMACO,7,UNIDAD
